edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
109,690.0,1060.0,2.0,2.0,17.0,387.0,3.0,3.0,0.3380868434906006,0.5841370224952698,False,0,0,True,False
110,690.0,1061.0,2.0,2.0,17.0,388.0,3.0,3.0,0.3297836184501648,0.5866444706916809,False,0,0,True,False
111,690.0,1062.0,2.0,2.0,17.0,389.0,3.0,3.0,0.3411089777946472,0.5925263166427612,False,0,0,True,False
112,691.0,1060.0,2.0,2.0,18.0,387.0,3.0,3.0,0.3462646007537842,0.58828204870224,False,0,0,True,False
113,691.0,1061.0,2.0,2.0,18.0,388.0,3.0,3.0,0.3384610116481781,0.5873210430145264,False,0,0,True,False
114,691.0,1062.0,2.0,2.0,18.0,389.0,3.0,3.0,0.35089802742004395,0.5890888571739197,False,0,0,True,False
115,692.0,1060.0,2.0,2.0,19.0,387.0,3.0,3.0,0.35598111152648926,0.5986920595169067,False,0,0,True,False
116,692.0,1061.0,2.0,2.0,19.0,388.0,3.0,3.0,0.34854772686958313,0.5948644280433655,False,0,0,True,False
117,693.0,1061.0,2.0,2.0,20.0,388.0,3.0,3.0,0.35837388038635254,0.6074599027633666,False,0,0,True,False
118,705.0,1161.0,2.0,2.0,32.0,488.0,3.0,3.0,0.3566701114177704,0.2626762390136719,False,0,0,True,False
119,705.0,1162.0,2.0,2.0,32.0,489.0,3.0,3.0,0.35884785652160645,0.26330021023750305,False,0,0,True,False
120,706.0,1162.0,2.0,2.0,33.0,489.0,3.0,3.0,0.3561447560787201,0.25039306282997126,False,0,0,True,False
121,706.0,1163.0,2.0,2.0,33.0,490.0,3.0,3.0,0.3578937649726868,0.2506210505962372,False,0,0,True,False
122,707.0,1163.0,2.0,2.0,34.0,490.0,3.0,3.0,0.3588925898075104,0.2428761124610901,False,0,0,True,False
123,707.0,1164.0,2.0,2.0,34.0,491.0,3.0,3.0,0.35838925838470453,0.24214464426040647,False,0,0,True,False
124,719.0,893.0,2.0,2.0,46.0,220.0,3.0,3.0,0.355434775352478,0.8005342483520509,False,0,0,True,False
125,719.0,894.0,2.0,2.0,46.0,221.0,3.0,3.0,0.3593779504299164,0.839640736579895,False,0,0,True,False
126,720.0,892.0,2.0,2.0,47.0,219.0,3.0,3.0,0.358357697725296,0.7513607144355774,False,0,0,True,False
127,720.0,893.0,2.0,2.0,47.0,220.0,3.0,3.0,0.3453897535800934,0.7978965640068054,False,0,0,True,False
128,720.0,894.0,2.0,2.0,47.0,221.0,3.0,3.0,0.3481978178024292,0.8379198908805846,False,0,0,True,False
129,721.0,892.0,2.0,2.0,48.0,219.0,3.0,3.0,0.3552500903606415,0.7445469498634337,False,0,0,True,False
130,721.0,893.0,2.0,2.0,48.0,220.0,3.0,3.0,0.34197115898132324,0.7895783185958862,False,0,0,True,False
131,721.0,894.0,2.0,2.0,48.0,221.0,3.0,3.0,0.34450286626815796,0.829857587814331,False,0,0,True,False
132,721.0,895.0,2.0,2.0,48.0,222.0,3.0,3.0,0.3566759526729584,0.8628485798835753,False,0,0,True,False
133,722.0,892.0,2.0,2.0,49.0,219.0,3.0,3.0,0.35772737860679626,0.7333237528800963,False,0,0,True,False
134,722.0,893.0,2.0,2.0,49.0,220.0,3.0,3.0,0.34565114974975586,0.7757957577705382,False,0,0,True,False
135,722.0,894.0,2.0,2.0,49.0,221.0,3.0,3.0,0.34863704442977905,0.81559419631958,False,0,0,True,False
136,723.0,893.0,2.0,2.0,50.0,220.0,3.0,3.0,0.3551709651947021,0.7574122548103331,False,0,0,True,False
137,723.0,894.0,2.0,2.0,50.0,221.0,3.0,3.0,0.35906097292900085,0.7958701848983764,False,0,0,True,False
